,day,incubation_period
1,0-1,0.118717318465882
2,1-2,0.143537265915677
3,2-3,0.132461881993359
4,3-4,0.114583773253494
5,4-5,0.0961089878325
6,5-6,0.079161761655962
7,6-7,0.064425146070521
8,7-8,0.051986771832482
9,8-9,0.041683386166618
10,9-10,0.033257217568234
11,10-11,0.026429808100565
12,11-12,0.020936345971539
13,12-13,0.016540218693301
14,13-14,0.013037530629659
15,14-15,0.010256628114158
16,15-16,0.008055306728274
17,16-17,0.006317125710591
18,17-18,0.004947575522678
19,18-19,0.003870470016384
20,19-20,0.003024727635378
21,20-21,0.002361593267534
22,21-22,0.001842293078442
23,22-23,0.001436085817986
24,23-24,0.001118662389509
25,24-25,0.000870843161422
26,25-26,0.000677525075896
27,26-27,0.000526835463958
28,27-28,0.000409455134866
29,28-29,0.000318078963752
30,29-30,0.000246987444415
31,30-31,0.000191707323035
32,31-32,0.000148743433213
33,32-33,0.000115367233694
34,33-34,8.94503624669918E-05
35,34-35,6.93338344872618E-05
36,35-36,5.37253967500817E-05
37,36-37,4.16190820768936E-05
38,37-38,3.22322329963098E-05
39,38-39,2.49562528176206E-05
40,39-40,1.93181278475008E-05
41,40-41,1.49503906964332E-05
42,41-42,1.15676912127993E-05
43,42-43,8.94853456223643E-06
44,43-44,6.92105625010875E-06
45,44-45,5.35194843598319E-06
46,45-46,4.13784428610064E-06
47,46-47,3.19861825581746E-06
48,47-48,2.47217877902273E-06
49,48-49,1.91042275887732E-06
50,49-50,1.47609398348791E-06
51,50-51,1.14034446663247E-06
52,51-52,8.80842139783233E-07
53,52-53,6.80303007816185E-07
54,53-54,5.25352934377388E-07
55,54-55,4.05645306233993E-07
56,55-56,3.13177256350272E-07
57,56-57,2.41759909092032E-07
58,57-58,1.86608063112992E-07
59,58-59,1.44022463066662E-07
60,59-60,1.11143825254345E-07
61,60-61,8.5762457135985E-08
62,61-62,6.6170935841825E-08
63,62-63,5.10501325656776E-08
64,63-64,3.9381050198628E-08
65,64-65,3.03766417575346E-08
66,65-66,2.34290911116375E-08
67,66-67,1.80690553630569E-08
68,67-68,1.39341620464251E-08
69,68-69,1.07446598285321E-08
70,69-70,8.28460644530793E-09
71,70-71,6.38733066438135E-09
72,71-72,4.92420526576609E-09
73,72-73,3.79597142607935E-09
74,73-74,2.92604263041341E-09
75,74-75,2.25532947872864E-09
76,75-76,1.73824832305769E-09
77,76-77,1.33963584669772E-09
78,77-78,1.03237041138016E-09
79,78-79,7.95534305098045E-10
80,79-80,6.1299565423667E-10
81,80-81,4.7231496491662E-10
82,81-82,3.63900243272042E-10
83,82-83,2.80356182713604E-10
84,83-84,2.15980788809134E-10
85,84-85,1.66379021671048E-10
86,85-86,1.28162258583586E-10
87,86-87,9.87190329482246E-11
88,87-88,7.60363993990154E-11
89,88-89,5.8562821259045E-11
90,89-90,4.51026993530945E-11
91,90-91,3.473477061533E-11
92,91-92,2.67490474215037E-11
93,92-93,2.05984118650804E-11
94,93-94,1.58613122636098E-11
95,94-95,1.22131194046915E-11
96,95-96,9.40381106318E-12
97,96-97,7.24031945509296E-12
98,97-98,5.57431878434045E-12
99,98-99,4.29167812399101E-12
100,99-100,3.30380167667954E-12
101,100-101,2.54352094941623E-12
102,101-102,1.95787830392646E-12
103,102-103,1.50712775592865E-12
104,103-104,1.16018306073329E-12
