,day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,0-1,1.01104377298651E-05,1.01104377298651E-05,1.01104377298651E-05,1.01104377298651E-05,1.01104377298651E-05,1.01104377298651E-05,1.01104377298651E-05
2,1-2,0.000239584295491,0.000239584295491,0.000239584295491,0.000239584295491,0.000239584295491,0.000239584295491,0.000239584295491
3,2-3,0.001242162659099,0.001242162659099,0.001242162659099,0.001242162659099,0.001242162659099,0.001242162659099,0.001242162659099
4,3-4,0.003498469815593,0.003498469815593,0.003498469815593,0.003498469815593,0.003498469815593,0.003498469815593,0.003498469815593
5,4-5,0.007166938147803,0.007166938147803,0.007166938147803,0.007166938147803,0.007166938147803,0.007166938147803,0.007166938147803
6,5-6,0.012094451732489,0.012094451732489,0.012094451732489,0.012094451732489,0.012094451732489,0.012094451732489,0.012094451732489
7,6-7,0.017919147521896,0.017919147521896,0.017919147521896,0.017919147521896,0.017919147521896,0.017919147521896,0.017919147521896
8,7-8,0.024184106044712,0.024184106044712,0.024184106044712,0.024184106044712,0.024184106044712,0.024184106044712,0.024184106044712
9,8-9,0.030429185559243,0.030429185559243,0.030429185559243,0.030429185559243,0.030429185559243,0.030429185559243,0.030429185559243
10,9-10,0.036252241286889,0.036252241286889,0.036252241286889,0.036252241286889,0.036252241286889,0.036252241286889,0.036252241286889
11,10-11,0.041341951479298,0.041341951479298,0.041341951479298,0.041341951479298,0.041341951479298,0.041341951479298,0.041341951479298
12,11-12,0.045488586314826,0.045488586314826,0.045488586314826,0.045488586314826,0.045488586314826,0.045488586314826,0.045488586314826
13,12-13,0.048579728549234,0.048579728549234,0.048579728549234,0.048579728549234,0.048579728549234,0.048579728549234,0.048579728549234
14,13-14,0.050587083320631,0.050587083320631,0.050587083320631,0.050587083320631,0.050587083320631,0.050587083320631,0.050587083320631
15,14-15,0.051549113804274,0.051549113804274,0.051549113804274,0.051549113804274,0.051549113804274,0.051549113804274,0.051549113804274
16,15-16,0.051552818140779,0.051552818140779,0.051552818140779,0.051552818140779,0.051552818140779,0.051552818140779,0.051552818140779
17,16-17,0.050716745150468,0.050716745150468,0.050716745150468,0.050716745150468,0.050716745150468,0.050716745150468,0.050716745150468
18,17-18,0.049176402335616,0.049176402335616,0.049176402335616,0.049176402335616,0.049176402335616,0.049176402335616,0.049176402335616
19,18-19,0.047072533239443,0.047072533239443,0.047072533239443,0.047072533239443,0.047072533239443,0.047072533239443,0.047072533239443
20,19-20,0.044542292591485,0.044542292591485,0.044542292591485,0.044542292591485,0.044542292591485,0.044542292591485,0.044542292591485
21,20-21,0.041713077110451,0.041713077110451,0.041713077110451,0.041713077110451,0.041713077110451,0.041713077110451,0.041713077110451
22,21-22,0.038698629554767,0.038698629554767,0.038698629554767,0.038698629554767,0.038698629554767,0.038698629554767,0.038698629554767
23,22-23,0.035596982866278,0.035596982866278,0.035596982866278,0.035596982866278,0.035596982866278,0.035596982866278,0.035596982866278
24,23-24,0.032489817860899,0.032489817860899,0.032489817860899,0.032489817860899,0.032489817860899,0.032489817860899,0.032489817860899
25,24-25,0.029442847900459,0.029442847900459,0.029442847900459,0.029442847900459,0.029442847900459,0.029442847900459,0.029442847900459
26,25-26,0.026506900381635,0.026506900381635,0.026506900381635,0.026506900381635,0.026506900381635,0.026506900381635,0.026506900381635
27,26-27,0.023719426366636,0.023719426366636,0.023719426366636,0.023719426366636,0.023719426366636,0.023719426366636,0.023719426366636
28,27-28,0.021106229177595,0.021106229177595,0.021106229177595,0.021106229177595,0.021106229177595,0.021106229177595,0.021106229177595
29,28-29,0.018683256281455,0.018683256281455,0.018683256281455,0.018683256281455,0.018683256281455,0.018683256281455,0.018683256281455
