,day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0-1,0.016805610692074,0.030797912005966,0.035649590609376,0.036036749564391,0.033694253047626,0.028426142047349,0.018157303370787
1,1-2,0.09031361651449,0.104921700223714,0.097094413448301,0.119594487565341,0.085182100401302,0.043847949316439,0.047820224719101
2,2-3,0.15938864628821,0.169202087994034,0.16513296137961,0.145414224615872,0.079579011130461,0.071023674558186,0.140134831460674
3,3-4,0.16534339023422,0.170991797166294,0.136439388450112,0.092111515919531,0.100855606875142,0.166138712904301,0.199730337078652
4,4-5,0.140201138017732,0.109619686800895,0.074125063401203,0.112862347536829,0.149011887635345,0.195398466155385,0.157752808988764
5,5-6,0.085549821357682,0.055555555555556,0.100644880805739,0.113733565658166,0.153024911032028,0.143297765921974,0.114426966292135
6,6-7,0.044660579595077,0.079418344519016,0.089486269110934,0.107555837161413,0.113954720981298,0.096282094031344,0.071370786516854
7,7-8,0.055842265449252,0.066442953020134,0.084414172886023,0.079360050689054,0.075793140001514,0.052767589196399,0.035955056179775
8,8-9,0.051938599973535,0.055853840417599,0.06115498876893,0.051085062569301,0.044370409631256,0.028259419806602,0.04161797752809
9,9-10,0.049292047108641,0.041834451901566,0.041808564596768,0.028116584824964,0.02135231316726,0.034428142714238,0.038741573033708
10,10-11,0.036059282784174,0.027665920954512,0.02340410115209,0.016236337715825,0.028545468312259,0.033927975991997,0.034516853932584
11,11-12,0.025142252216488,0.01744966442953,0.012390406492283,0.016632345952796,0.023850988112365,0.02675891963988,0.023640449438202
12,12-13,0.015680825724494,0.009246830723341,0.014926454604739,0.017186757484556,0.022715226773681,0.020756918972991,0.017168539325843
13,13-14,0.006616382162234,0.011483967188665,0.015071371639736,0.017107555837161,0.017263572347997,0.01542180726909,0.011955056179775
14,14-15,0.010321556173085,0.012155108128263,0.011738279834795,0.011721843814351,0.011736200499735,0.007585861953985,0.006741573033708
15,15-16,0.009262935027127,0.008128262490679,0.009854358379828,0.007682559797244,0.005981676383736,0.004001333777926,0.00638202247191
16,16-17,0.009461426491994,0.006040268456376,0.00630389102239,0.004435292254079,0.003180131748315,0.00458486162054,0.006921348314607
17,17-18,0.006285563054122,0.004921700223714,0.002753423664952,0.002059242832251,0.003861588551526,0.006168722907636,0.005842696629213
18,18-19,0.004962286621675,0.0027591349739,0.001666545902471,0.003405670837953,0.004845915045052,0.005001667222407,0.004404494382022
19,19-20,0.002580389043271,0.001267710663684,0.001811462937468,0.003088864248376,0.003104414325736,0.002667555851951,0.001797752808989
20,20-21,0.000992457324335,0.00186428038777,0.002318672559959,0.002376049421828,0.004013023396684,0.002250750250083,0.001348314606742
21,21-22,0.002580389043271,0.001640566741238,0.002028838489965,0.002851259306194,0.001438631029,0.001333777925975,0.001348314606742
22,22-23,0.001521767897314,0.002460850111857,0.001956379972466,0.001346428005703,0.000832891648368,0.000583527842614,0.001438202247191
23,23-24,0.001587931718936,0.001193139448173,0.00057966813999,0.00055441153176,0.000530021958053,0.000416805601867,0.000629213483146
24,24-25,0.001389440254069,0.000820283370619,0.000941960727484,0.000316806589577,0.000832891648368,0.000916972324108,0.000988764044944
