,day,serial_interval
1,0-1,0.018641911240587
2,1-2,0.067027114888912
3,2-3,0.102062429515938
4,3-4,0.117584042559421
5,4-5,0.118095911679845
6,5-6,0.109305182310066
7,6-7,0.095829314414851
8,7-8,0.080832147336223
9,8-9,0.066239343207766
10,9-10,0.053075989862284
11,10-11,0.041772362616201
12,11-12,0.032397463077648
13,12-13,0.024821570523861
14,13-14,0.018821853062878
15,14-15,0.014146629675232
16,15-16,0.010551514426404
17,16-17,0.00781744720754
18,17-18,0.005757670553132
19,18-19,0.004218386324133
20,19-20,0.003076127342719
21,20-21,0.002233702050793
22,21-22,0.001615788168745
23,22-23,0.001164751243553
24,23-24,0.000836956868056
25,24-25,0.000599665679772
26,25-26,0.000428501933506
27,26-27,0.000305438238911
28,27-28,0.000217220418474
29,28-29,0.000154154267774
30,29-30,0.000109182194005
31,30-31,7.71874604456046E-05
32,31-32,5.44743576966766E-05
33,32-33,3.83826376642027E-05
34,33-34,2.70033396764235E-05
35,34-35,1.89705086209857E-05
36,35-36,1.33092883668473E-05
37,36-37,9.32561811539667E-06
38,37-38,6.52645392629214E-06
39,38-39,4.56227377254592E-06
40,39-40,3.18577620550542E-06
41,40-41,2.22229939927931E-06
42,41-42,1.54869202551033E-06
43,42-43,1.07825874762213E-06
44,43-44,7.5005858402033E-07
45,44-45,5.21313769707987E-07
46,45-46,3.62035700307572E-07
47,46-47,2.51227455727587E-07
48,47-48,1.74205006198136E-07
49,48-49,1.20710604845087E-07
50,49-50,8.35861061476706E-08
51,50-51,5.78413591467708E-08
52,51-52,4.00009003698187E-08
53,52-53,2.76463907322722E-08
54,53-54,1.90965283586308E-08
55,54-55,1.31833894911892E-08
56,55-56,9.09631048262582E-09
57,56-57,6.27302998434942E-09
58,57-58,4.32385693915904E-09
59,58-59,2.9788911337647E-09
60,59-60,2.05132499875305E-09
61,60-61,1.41194445024695E-09
62,61-62,9.71427716045525E-10
63,62-63,6.68065935904849E-10
64,63-64,4.59250637518949E-10
65,64-65,3.15578785325954E-10
66,65-66,2.16769491245827E-10
67,66-67,1.48842271840977E-10
68,67-68,1.02163832949032E-10
69,68-69,7.00994817748324E-11
70,69-70,4.80823159065835E-11
71,70-71,3.29692939615711E-11
72,71-72,2.25993668223623E-11
73,72-73,1.54861679035889E-11
74,73-74,1.06086250895032E-11
75,74-75,7.26529947314702E-12
76,75-76,4.97402119492563E-12
77,76-77,3.40449890501304E-12
78,77-78,2.32958097257097E-12
79,78-79,1.59361412954695E-12
80,79-80,1.08979492097205E-12
81,80-81,7.45181694128405E-13
82,81-82,5.09370323698022E-13
83,82-83,3.48054918219987E-13
84,83-84,2.37920794177171E-13
85,84-85,1.6242562850266E-13
86,85-86,1.10911280160053E-13
87,86-87,7.57172102794357E-14
88,87-88,5.17363929475323E-14
89,88-89,3.530509218308E-14
90,89-90,2.40918396343659E-14
91,90-91,1.64313007644523E-14
92,91-92,1.12132525487141E-14
93,92-93,7.66053886991358E-15
94,93-94,5.21804821573824E-15
95,94-95,3.5527136788005E-15
