country,date,repC_t,D_t,rho_period,weekday,alpha,delta,proportion_original,first_vaccination,second_vaccination,H_t,Hicu_t,ifr_t_m,closingSchools,restrictGatherings,lockdown,subsequentLockdown,generalBehavioralChanges,winter,spring,summer,autumn
Austria,2020-02-21,0,0,1,5,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-02-22,0,0,1,6,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-02-23,0,0,1,7,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-02-24,0,0,1,1,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-02-25,2,0,1,2,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-02-26,0,0,1,3,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-02-27,1,0,1,4,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-02-28,0,0,1,5,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-02-29,6,0,1,6,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,1,0,0,0
Austria,2020-03-01,5,0,1,7,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-02,4,0,1,1,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-03,3,0,1,2,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-04,8,0,1,3,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-05,12,0,1,4,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-06,14,0,1,5,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-07,24,0,1,6,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-08,25,0,1,7,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-09,27,0,1,1,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-10,51,0,1,2,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-11,64,0,1,3,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-12,56,1,1,4,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-13,202,0,1,5,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-14,151,0,1,6,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-15,205,0,2,7,0,0,1,0,0,,,0.00632784670603638,0,0,0,0,0,0,1,0,0
Austria,2020-03-16,158,2,2,1,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,0,0,1,0,0
Austria,2020-03-17,314,0,2,2,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-18,314,1,2,3,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-19,367,2,2,4,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-20,375,0,2,5,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-21,426,2,2,6,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-22,768,8,2,7,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-23,892,5,2,1,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-24,809,7,2,2,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-25,305,2,2,3,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-26,1321,19,3,4,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-27,748,9,3,5,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-28,614,10,3,6,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-29,517,18,3,7,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-30,830,22,3,1,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-03-31,562,20,3,2,0,0,1,0,0,,,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-01,531,18,3,3,0,0,1,0,0,856,215,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-02,418,12,3,4,0,0,1,0,0,823,219,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-03,395,10,3,5,0,0,1,0,0,829,245,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-04,257,18,3,6,0,0,1,0,0,826,245,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-05,270,18,3,7,0,0,1,0,0,712,244,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-06,246,16,3,1,0,0,1,0,0,824,250,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-07,342,23,3,2,0,0,1,0,0,857,243,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-08,303,30,3,3,0,0,1,0,0,829,267,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-09,302,22,3,4,0,0,1,0,0,820,266,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-10,311,24,3,5,0,0,1,0,0,771,261,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-11,251,18,3,6,0,0,1,0,0,790,245,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-12,139,13,3,7,0,0,1,0,0,792,243,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-13,96,18,3,1,0,0,1,0,0,742,239,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-14,185,16,3,2,0,0,1,0,0,759,243,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-15,110,9,3,3,0,0,1,0,0,769,232,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-16,140,17,3,4,0,0,1,0,0,729,238,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-17,119,21,3,5,0,0,1,0,0,682,227,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-18,76,12,3,6,0,0,1,0,0,647,208,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-19,78,9,3,7,0,0,1,0,0,613,204,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-20,46,18,3,1,0,0,1,0,0,611,194,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-21,78,21,3,2,0,0,1,0,0,560,196,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-22,52,19,4,3,0,0,1,0,0,524,176,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-23,77,12,4,4,0,0,1,0,0,508,169,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-24,69,8,4,5,0,0,1,0,0,495,156,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-25,77,6,4,6,0,0,1,0,0,460,148,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-26,77,6,4,7,0,0,1,0,0,449,145,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-27,49,7,4,1,0,0,1,0,0,439,140,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-28,83,20,4,2,0,0,1,0,0,425,136,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-29,45,11,4,3,0,0,1,0,0,386,131,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-04-30,50,4,4,4,0,0,1,0,0,372,128,0.00632784670603638,1,1,1,0,1,0,1,0,0
Austria,2020-05-01,79,5,4,5,0,0,1,0,0,348,124,0.00632784670603638,1,1,0,0,1,0,1,0,0
Austria,2020-05-02,27,7,4,6,0,0,1,0,0,314,114,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-03,39,2,4,7,0,0,1,0,0,308,114,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-04,24,2,4,1,0,0,1,0,0,309,111,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-05,29,6,4,2,0,0,1,0,0,314,104,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-06,34,2,4,3,0,0,1,0,0,321,97,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-07,68,1,4,4,0,0,1,0,0,268,92,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-08,22,5,4,5,0,0,1,0,0,258,81,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-09,59,1,4,6,0,0,1,0,0,230,79,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-10,38,3,4,7,0,0,1,0,0,219,72,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-11,11,2,4,1,0,0,1,0,0,211,68,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-12,79,3,4,2,0,0,1,0,0,205,59,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-13,36,1,4,3,0,0,1,0,0,188,55,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-14,61,2,5,4,0,0,1,0,0,180,54,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-15,51,2,5,5,0,0,1,0,0,165,47,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-16,92,1,5,6,0,0,1,0,0,158,50,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-17,41,0,5,7,0,0,1,0,0,149,48,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-18,27,0,5,1,0,0,1,0,0,151,45,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-19,52,3,5,2,0,0,1,0,0,143,39,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-20,32,1,5,3,0,0,1,0,0,137,37,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-21,51,0,5,4,0,0,1,0,0,156,32,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-22,32,2,5,5,0,0,1,0,0,128,31,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-23,50,4,5,6,0,0,1,0,0,116,28,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-24,17,1,5,7,0,0,1,0,0,108,29,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-25,36,1,5,1,0,0,1,0,0,108,31,0.00632784670603638,1,0,0,0,1,0,1,0,0
Austria,2020-05-26,18,2,5,2,0,0,1,0,0,95,32,0.00632784670603638,1,0,0,0,1,0,1,0,0
