country,date,true_val_NPI1,true_val_NPI2,true_val_NPI3,true_val_NPI4,true_val_NPI5,NPI1,NPI2,NPI3,NPI4,NPI5,I_t_1,I_t_2,I_t_3,I_t_4,I_t,C_t_1,C_t_2,C_t_3,C_t_4,C_t,Hicu_t_1,Hicu_t_2,Hicu_t_3,Hicu_t_4,Hicu_t,R_t_1,R_t_2,R_t_3,R_t_4,R_t,cf1_1,cf1_2,cf1_3,cf1_4,cf1,cf2,cf_full_1,cf_full_2,cf_full_3,cf_full_4,cf_full,weekday,rho_period,repC_t,ErepC_t,D_t_1,D_t_2,D_t_3,D_t_4,D_t,H_t_1,H_t_2,H_t_3,H_t_4,H_t,ifr_t_m_1,ifr_t_m_2,ifr_t_m_3,ifr_t_m_4,ifr_t_m,first_vaccination,second_vaccination,alpha,delta
countryA,2020-01-01,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,14,14,9,19,56,2,2,1,2,7,0,0,0,0,0,3.28632460690659,3.28632460690659,3.28632460690659,3.28632460690659,13.1452984276264,0,0,0,0,0,0,1,1,1,1,4,3,1,0,0.0547622833518841,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-02,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,1,1,5,3,10,2,2,2,3,9,0,0,0,0,0,3.2863230610195,3.2863230610195,3.28632361312203,3.28632250891696,13.145292244078,4.704e-07,4.704e-07,3.024e-07,6.384e-07,1.8816e-06,0,0.9999995296,0.9999995296,0.9999996976,0.9999993616,3.9999981184,4,1,0,0.222143960722525,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-03,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,4,7,7,9,27,2,3,3,4,12,0,0,0,0,0,3.28632295059899,3.28632295059899,3.2863230610195,3.28632217765544,13.1452911398729,5.04e-07,5.04e-07,4.704e-07,7.392e-07,2.2176e-06,0,0.999999496,0.999999496,0.9999995296,0.9999992608,3.9999977824,5,1,0,0.586319990478316,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-04,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,2,5,6,7,20,3,3,3,5,14,0,0,0,0,0,3.28632250891696,3.28632217765544,3.28632228807595,3.28632118387088,13.1452881585192,6.384e-07,7.392e-07,7.056e-07,1.0416e-06,3.1248e-06,0,0.9999993616,0.9999992608,0.9999992944,0.9999989584,3.9999968752,6,1,2,0.818946507543562,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-05,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,9,16,15,9,49,3,5,5,5,18,0,0,0,0,0,3.28632228807595,3.28632162555291,3.28632162555291,3.28632041092733,13.1452859501091,7.056e-07,9.072e-07,9.072e-07,1.2768e-06,3.7968e-06,0,0.9999992944,0.9999990928,0.9999990928,0.9999987232,3.9999962032,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-06,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,20,10,14,12,56,6,6,7,7,26,0,0,0,0,0,3.28632129429139,3.2863198588248,3.28631996924531,3.28631941714277,13.1452805395043,1.008e-06,1.4448e-06,1.4112e-06,1.5792e-06,5.4432e-06,0,0.999998992,0.9999985552,0.9999985888,0.9999984208,3.9999945568,1,1,1,1.14531519098019,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-07,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,20,16,14,19,69,8,8,8,8,32,0,0,0,1,1,3.28631908588125,3.28631875461973,3.28631842335821,3.28631809209669,13.1452743559559,1.68e-06,1.7808e-06,1.8816e-06,1.9824e-06,7.3248e-06,0,0.99999832,0.9999982192,0.9999981184,0.9999980176,3.9999926752,2,1,1,2.51710599053371,0,0,0,0,0,1,1,0,1,3,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-08,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,27,21,27,20,95,11,10,10,11,42,0,0,0,0,0,3.28631687747112,3.28631698789162,3.28631687747112,3.28631599410706,13.1452667369409,2.352e-06,2.3184e-06,2.352e-06,2.6208e-06,9.6432e-06,0,0.999997648,0.9999976816,0.999997648,0.9999973792,3.9999903568,3,1,2,4.04127661091507,0,0,0,0,0,2,0,0,2,4,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-09,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,0,0,0,0,0,34,32,34,22,122,15,13,15,12,55,0,0,0,1,1,3.28631389611743,3.28631466906098,3.28631389611743,3.28631378569692,13.1452562469928,3.2592e-06,3.024e-06,3.2592e-06,3.2928e-06,1.28352e-05,0,0.9999967408,0.999996976,0.9999967408,0.9999967072,3.9999871648,4,1,6,5.01003340302605,0,0,0,0,0,1,1,0,6,8,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
countryA,2020-01-10,0.215206020641404,0.247600047802287,0.292588904510417,0.410889282828786,0.469674707046863,1,0,0,0,0,30,27,36,26,119,17,16,18,14,65,0,0,0,0,0,2.6499993038539,2.65000010521722,2.6499993038539,2.65000028329796,10.599998996223,4.4016e-06,4.0992e-06,4.4016e-06,4.032e-06,1.69344e-05,0,0.9999955984,0.9999959008,0.9999955984,0.999995968,3.9999830656,5,1,10,6.53690458023796,0,0,0,0,0,0,0,2,1,3,0.003,0.006,0.009,0.012,0.0075,0,0,0,0
